Tahun,Penumpang
01/01/20,18821
02/01/20,14667
03/01/20,17103
04/01/20,5024
05/01/20,2267
06/01/20,6527
07/01/20,7977
08/01/20,9174
09/01/20,9272
10/01/20,13432
11/01/20,14311
12/01/20,15029
01/01/21,8787
02/01/21,6169
03/01/21,11589
04/01/21,18451
05/01/21,14728
06/01/21,13411
07/01/21,6632
08/01/21,7479
09/01/21,11997
10/01/21,20035
11/01/21,18133
12/01/21,14605
01/01/22,11669
02/01/22,10981
03/01/22,18918
04/01/22,25609
05/01/22,39180
06/01/22,29620
07/01/22,35030
08/01/22,27740
09/01/22,21189
10/01/22,26628
11/01/22,19580
12/01/22,20422
01/01/23,14097
02/01/23,14030
03/01/23,20455
04/01/23,43729
05/01/23,38231
06/01/23,41119
07/01/23,46715
08/01/23,38090
09/01/23,33876
10/01/23,33641
11/01/23,29653
12/01/23,40349
01/01/24,19754
02/01/24,24211
03/01/24,22623
04/01/24,61649
05/01/24,36930
06/01/24,43444
07/01/24,48774
08/01/24,34753
09/01/24,31403
10/01/24,29205
11/01/24,23251
12/01/24,25349
01/01/25,18614
02/01/25,17851
03/01/25,40891
