Jumlah Debarkasi Penumpang,,,,,,,,,,,,,,
,Jumlah Debarkasi Penumpang Angkutan Laut di Jawa Tengah (Orang),,,,,,,,,,,,,
,2020,,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Nopember,Desember,Tahunan,
Jumlah Penumpang,18821,14667,17103,5024,2267,6527,7977,9174,9272,13432,14311,15029,133604,Jumlah Debarkasi Penumpang Angkutan Laut di Jawa Tengah (Orang)
,2021,,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Nopember,Desember,Tahunan,
Jumlah Penumpang,8787,6169,11589,18451,14728,13411,6632,7479,11997,20035,18133,14605,152016,Jumlah Debarkasi Penumpang Angkutan Laut di Jawa Tengah (Orang)
,2022,,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Nopember,Desember,Tahunan,
Jumlah Penumpang,11669,10981,18918,25609,39180,29620,35030,27740,21189,26628,19580,20422,286566,Jumlah Debarkasi Penumpang Angkutan Laut di Jawa Tengah (Orang)
,2023,,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Nopember,Desember,Tahunan,
Jumlah Penumpang,14097,14030,20455,43729,38231,41119,46715,38090,33876,33641,29653,40349,393985,Jumlah Debarkasi Penumpang Angkutan Laut di Jawa Tengah (Orang)
,2024,,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Nopember,Desember,Tahunan,
Jumlah Penumpang,19754,24211,22623,61649,-,-,-,-,-,-,-,-,-,
