Tahun,Penumpang
2016 / 1 / 01,378
2016 / 2 / 01,158
2016 / 3 / 01,394
2016 / 4 / 01,401
2016 / 5 / 01,543
2016 / 6 / 01,444
2016 / 7 / 01,212
2016 / 8 / 01,672
2016 / 9 / 01,280
2016 / 10 / 01,409
2016 / 11 / 01,253
2016 / 12 / 01,431
2017 / 1 / 01,254
2017 / 2 / 01,34
2017 / 3 / 01,361
2017 / 4 / 01,249
2017 / 5 / 01,306
2017 / 6 / 01,531
2017 / 7 / 01,138
2017 / 8 / 01,339
2017 / 9 / 01,658
2017 / 10 / 01,544
2017 / 11 / 01,439
2017 / 12 / 01,762
2018 / 1 / 01,480
2018 / 2 / 01,49
2018 / 3 / 01,350
2018 / 4 / 01,609
2018 / 5 / 01,658
2018 / 6 / 01,576
2018 / 7 / 01,327
2018 / 8 / 01,472
2018 / 9 / 01,606
2018 / 10 / 01,611
2018 / 11 / 01,493
2018 / 12 / 01,246
2019 / 1 / 01,85
2019 / 2 / 01,309
2019 / 3 / 01,499
2019 / 4 / 01,577
2019 / 5 / 01,1035
2019 / 6 / 01,3104
2019 / 7 / 01,2835
2019 / 8 / 01,2620
2019 / 9 / 01,1278
2019 / 10 / 01,1294
2019 / 11 / 01,1175
2019 / 12 / 01,2772
2020 / 1 / 01,1420
2020 / 2 / 01,1277
2020 / 3 / 01,1300
2020 / 4 / 01,1755
2020 / 5 / 01,552
2020 / 6 / 01,76
2020 / 7 / 01,59
2020 / 8 / 01,5
2020 / 9 / 01,1035
2020 / 10 / 01,613
2020 / 11 / 01,1083
2020 / 12 / 01,2126
2021 / 1 / 01,1372
2021 / 2 / 01,2075
2021 / 3 / 01,1523
2021 / 4 / 01,3021
2021 / 5 / 01,1222
2021 / 6 / 01,1870
2021 / 7 / 01,538
2021 / 8 / 01,305
2021 / 9 / 01,573
2021 / 10 / 01,879
2021 / 11 / 01,596
2021 / 12 / 01,905
2022 / 1 / 01,1201
2022 / 2 / 01,1304
2022 / 3 / 01,1829
2022 / 4 / 01,2806
2022 / 5 / 01,2971
2022 / 6 / 01,2634
2022 / 7 / 01,2522
2022 / 8 / 01,1528
2022 / 9 / 01,1971
2022 / 10 / 01,2721
2022 / 11 / 01,2202
2022 / 12 / 01,3430
2023 / 1 / 01,3556
2023 / 2 / 01,1737
2023 / 3 / 01,2167
2023 / 4 / 01,5379
2023 / 5 / 01,4791
2023 / 6 / 01,3434
2023 / 7 / 01,4301
2023 / 8 / 01,1972
2023 / 9 / 01,2271
2023 / 10 / 01,2021
2023 / 11 / 01,2334
2023 / 12 / 01,4268
2024 / 1 / 01,3832
2024 / 2 / 01,2447
2024 / 3 / 01,3052
2024 / 4 / 01,6673
2024 / 5 / 01,4136
2024 / 6 / 01,3572
2024 / 7 / 01,4336
2024 / 8 / 01,4103
2024 / 9 / 01,2952
2024 / 10 / 01,1948
